"Chinese","English","Audio 1","Audio 2","Raw Text"
"我跟他表示了不用客气。","I expressed to him, 'you're welcome'.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E6%88%91%E8%B7%9F%E4%BB%96%E8%A1%A8%E7%A4%BA%E4%BA%86%E4%B8%8D%E7%94%A8%E5%AE%A2%E6%B0%94-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E6%88%91%E8%B7%9F%E4%BB%96%E8%A1%A8%E7%A4%BA%E4%BA%86%E4%B8%8D%E7%94%A8%E5%AE%A2%E6%B0%94-%E5%A5%B3.mp3","我跟他表示了不用客气。
I expressed to him, 'you're welcome'.

1. to express, to show，to signify

‎

‎

    


Characters: 表


示
"
"他表示今年的水果还不错。","He said this year’s fruit is pretty good.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E4%BB%96%E8%A1%A8%E7%A4%BA%E4%BB%8A%E5%B9%B4%E7%9A%84%E6%B0%B4%E6%9E%9C%E8%BF%98%E4%B8%8D%E9%94%99-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E4%BB%96%E8%A1%A8%E7%A4%BA%E4%BB%8A%E5%B9%B4%E7%9A%84%E6%B0%B4%E6%9E%9C%E8%BF%98%E4%B8%8D%E9%94%99-%E5%A5%B3.mp3","他表示今年的水果还不错。
He said this year’s fruit is pretty good.

1. to express, to show，to signify

‎

‎

    


Characters: 表


示
"
"坐公交车要买票。","You need to buy a ticket to take the bus.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E5%9D%90%E5%85%AC%E4%BA%A4%E8%BD%A6%E8%A6%81%E4%B9%B0%E7%A5%A8-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E5%9D%90%E5%85%AC%E4%BA%A4%E8%BD%A6%E8%A6%81%E4%B9%B0%E7%A5%A8-%E5%A5%B3.mp3","坐公交车要买票。
You need to buy a ticket to take the bus.

1. ticket

‎

‎

    


Characters: 票
"
"你可以先上车，然后再买车票！","You can get on the vehicle first, and then buy the ticket!","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E4%BD%A0%E5%8F%AF%E4%BB%A5%E5%85%88%E4%B8%8A%E8%BD%A6%EF%BC%8C%E7%84%B6%E5%90%8E%E5%86%8D%E4%B9%B0%E8%BD%A6%E7%A5%A8-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E4%BD%A0%E5%8F%AF%E4%BB%A5%E5%85%88%E4%B8%8A%E8%BD%A6%EF%BC%8C%E7%84%B6%E5%90%8E%E5%86%8D%E4%B9%B0%E8%BD%A6%E7%A5%A8-%E5%A5%B3.mp3","你可以先上车，然后再买车票！
You can get on the vehicle first, and then buy the ticket!

ticket (for a bus or train)

‎

‎

    


Characters: 票


车
"
"最近的机票比以前便宜多了！因为大家怕坐飞机。","Recently, plane tickets have become much cheaper than before because people are afraid of flying.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E6%9C%80%E8%BF%91%E7%9A%84%E6%9C%BA%E7%A5%A8%E6%AF%94%E4%BB%A5%E5%89%8D%E4%BE%BF%E5%AE%9C%E5%A4%9A%E4%BA%86%EF%BC%81%E5%9B%A0%E4%B8%BA%E5%A4%A7%E5%AE%B6%E6%80%95%E5%9D%90%E9%A3%9E%E6%9C%BA-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E6%9C%80%E8%BF%91%E7%9A%84%E6%9C%BA%E7%A5%A8%E6%AF%94%E4%BB%A5%E5%89%8D%E4%BE%BF%E5%AE%9C%E5%A4%9A%E4%BA%86%EF%BC%81%E5%9B%A0%E4%B8%BA%E5%A4%A7%E5%AE%B6%E6%80%95%E5%9D%90%E9%A3%9E%E6%9C%BA-%E5%A5%B3.mp3","最近的机票比以前便宜多了！因为大家怕坐飞机。
Recently, plane tickets have become much cheaper than before because people are afraid of flying.

air ticket, passenger ticket MW: 张 zhāng

‎

便宜 piányi - cheap

‎

    


Characters: 票


机
"
"冬天是火车票很贵的季节。","Winter is the season when train tickets are very expensive.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E5%86%AC%E5%A4%A9%E6%98%AF%E7%81%AB%E8%BD%A6%E7%A5%A8%E5%BE%88%E8%B4%B5%E7%9A%84%E5%AD%A3%E8%8A%82-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E5%86%AC%E5%A4%A9%E6%98%AF%E7%81%AB%E8%BD%A6%E7%A5%A8%E5%BE%88%E8%B4%B5%E7%9A%84%E5%AD%A3%E8%8A%82-%E5%A5%B3.mp3","冬天是火车票很贵的季节。
Winter is the season when train tickets are very expensive.

1. train ticket

‎

季节 jìjié - season; time; period

‎

    


Characters: 票


车


火
"
"你想进去，得先买门票，你去买还是我去？","If you want to go in, you have to buy a ticket first. Will you go buy it or should I?","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E4%BD%A0%E6%83%B3%E8%BF%9B%E5%8E%BB%EF%BC%8C%E5%BE%97%E5%85%88%E4%B9%B0%E9%97%A8%E7%A5%A8%EF%BC%8C%E4%BD%A0%E5%8E%BB%E4%B9%B0%E8%BF%98%E6%98%AF%E6%88%91%E5%8E%BB-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E4%BD%A0%E6%83%B3%E8%BF%9B%E5%8E%BB%EF%BC%8C%E5%BE%97%E5%85%88%E4%B9%B0%E9%97%A8%E7%A5%A8%EF%BC%8C%E4%BD%A0%E5%8E%BB%E4%B9%B0%E8%BF%98%E6%98%AF%E6%88%91%E5%8E%BB-%E5%A5%B3.mp3","你想进去，得先买门票，你去买还是我去？
If you want to go in, you have to buy a ticket first. Will you go buy it or should I?

ticket (for theater, cinema, etc.)

‎

‎







Characters: 票


门
"
"这里没有旧电视卖。","There are no old TVs sold here.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E8%BF%99%E9%87%8C%E6%B2%A1%E6%9C%89%E6%97%A7%E7%94%B5%E8%A7%86%E5%8D%96-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E8%BF%99%E9%87%8C%E6%B2%A1%E6%9C%89%E6%97%A7%E7%94%B5%E8%A7%86%E5%8D%96-%E5%A5%B3.mp3","这里没有旧电视卖。
There are no old TVs sold here.

1. TV

‎

‎

    


Characters: 电


视
"
"中学生和小学生每天花在电视机上的时间不能太长。","Middle school and elementary school students should not spend too much time on the TV every day.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E4%B8%AD%E5%AD%A6%E7%94%9F%E5%92%8C%E5%B0%8F%E5%AD%A6%E7%94%9F%E6%AF%8F%E5%A4%A9%E8%8A%B1%E5%9C%A8%E7%94%B5%E8%A7%86%E6%9C%BA%E4%B8%8A%E7%9A%84%E6%97%B6%E9%97%B4%E4%B8%8D%E8%83%BD%E5%A4%AA%E9%95%BF-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E4%B8%AD%E5%AD%A6%E7%94%9F%E5%92%8C%E5%B0%8F%E5%AD%A6%E7%94%9F%E6%AF%8F%E5%A4%A9%E8%8A%B1%E5%9C%A8%E7%94%B5%E8%A7%86%E6%9C%BA%E4%B8%8A%E7%9A%84%E6%97%B6%E9%97%B4%E4%B8%8D%E8%83%BD%E5%A4%AA%E9%95%BF-%E5%A5%B3.mp3","中学生和小学生每天花在电视机上的时间不能太长。
Middle school and elementary school students should not spend too much time on the TV every day.

television set MW: 台 tái

‎

‎

    


Characters: 电


机


视
"
"我知道她没有买菜。","I know she didn’t buy groceries.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E6%88%91%E7%9F%A5%E9%81%93%E5%A5%B9%E6%B2%A1%E6%9C%89%E4%B9%B0%E8%8F%9C-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL33-%E6%88%91%E7%9F%A5%E9%81%93%E5%A5%B9%E6%B2%A1%E6%9C%89%E4%B9%B0%E8%8F%9C-%E5%A5%B3.mp3","我知道她没有买菜。
I know she didn’t buy groceries.

1. to know

‎

‎

    


Characters: 道


知
"
