"Chinese","English","Audio 1","Audio 2","Raw Text"
"昨天有点热 。","It was a little hot yesterday.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E6%98%A8%E5%A4%A9%E6%9C%89%E7%82%B9%E7%83%AD-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E6%98%A8%E5%A4%A9%E6%9C%89%E7%82%B9%E7%83%AD-%E5%A5%B32.mp3","昨天有点热 。
It was a little hot yesterday.

1. hot

‎

‎

    


Characters: 热
"
"中国人总是对外国人很热情。","Chinese people are always very warm to foreigners.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%80%BB%E6%98%AF%E5%AF%B9%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BE%88%E7%83%AD%E6%83%85-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%80%BB%E6%98%AF%E5%AF%B9%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BE%88%E7%83%AD%E6%83%85-%E5%A5%B3.mp3","中国人总是对外国人很热情。
Chinese people are always very warm to foreigners.

1. warm and welcoming

‎

‎

    


Characters: 热


情
"
"两天以后，他的草房就修好了，猪大哥很高兴，热情地请两个弟弟和父母来看新房子。","Two days later, his straw house was finished, Brother Pig was very happy, and warmly invited his two younger brothers and parents to see the new house.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E4%B8%A4%E5%A4%A9%E4%BB%A5%E5%90%8E%EF%BC%8C%E4%BB%96%E7%9A%84%E8%8D%89%E6%88%BF%E5%B0%B1%E4%BF%AE%E5%A5%BD%E4%BA%86%EF%BC%8C%E7%8C%AA%E5%A4%A7%E5%93%A5%E5%BE%88%E9%AB%98%E5%85%B4-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E4%B8%A4%E5%A4%A9%E4%BB%A5%E5%90%8E%EF%BC%8C%E4%BB%96%E7%9A%84%E8%8D%89%E6%88%BF%E5%B0%B1%E4%BF%AE%E5%A5%BD%E4%BA%86%EF%BC%8C%E7%8C%AA%E5%A4%A7%E5%93%A5%E5%BE%88%E9%AB%98%E5%85%B4-%E5%A5%B3.mp3","两天以后，他的草房就修好了，猪大哥很高兴，热情地请两个弟弟和父母来看新房子。
Two days later, his straw house was finished, Brother Pig was very happy, and warmly invited his two younger brothers and parents to see the new house.

1. warm and welcoming

‎

房子 fángzi - house

就 jiù - already

修 xiū - build

弟弟 dìdi - younger brother

新 xīn - new

‎

    


Characters: 热


情
"
"洗手间没有热水。","There is no hot water in the bathroom.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E6%B4%97%E6%89%8B%E9%97%B4%E6%B2%A1%E6%9C%89%E7%83%AD%E6%B0%B4-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E6%B4%97%E6%89%8B%E9%97%B4%E6%B2%A1%E6%9C%89%E7%83%AD%E6%B0%B4-%E5%A5%B3.mp3","洗手间没有热水。
There is no hot water in the bathroom.

1. hot water

‎

‎

    


Characters: 热


水
"
"他想要加热外卖。","He wants to warm up the takeout.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E4%BB%96%E6%83%B3%E8%A6%81%E5%8A%A0%E7%83%AD%E5%A4%96%E5%8D%96-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E4%BB%96%E6%83%B3%E8%A6%81%E5%8A%A0%E7%83%AD%E5%A4%96%E5%8D%96-%E5%A5%B3.mp3","他想要加热外卖。
He wants to warm up the takeout.

1. to add heat

‎

‎

    


Characters: 热


加
"
"这里的风景特别美。","The scenery here is especially beautiful.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E8%BF%99%E9%87%8C%E7%9A%84%E9%A3%8E%E6%99%AF%E7%89%B9%E5%88%AB%E7%BE%8E-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E8%BF%99%E9%87%8C%E7%9A%84%E9%A3%8E%E6%99%AF%E7%89%B9%E5%88%AB%E7%BE%8E-%E5%A5%B3.mp3","这里的风景特别美。
The scenery here is especially beautiful.

1. scenery

‎

‎

    


Characters: 风


景
"
"如果还有时间，我们可以看电影。","If there is still time, we can watch a movie.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E5%A6%82%E6%9E%9C%E8%BF%98%E6%9C%89%E6%97%B6%E9%97%B4%EF%BC%8C%E6%88%91%E4%BB%AC%E5%8F%AF%E4%BB%A5%E7%9C%8B%E7%94%B5%E5%BD%B1-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E5%A6%82%E6%9E%9C%E8%BF%98%E6%9C%89%E6%97%B6%E9%97%B4%EF%BC%8C%E6%88%91%E4%BB%AC%E5%8F%AF%E4%BB%A5%E7%9C%8B%E7%94%B5%E5%BD%B1-%E5%A5%B3.mp3","如果还有时间，我们可以看电影。
If there is still time, we can watch a movie.

1. movie, film

‎

‎

    


Characters: 电


影
"
"这个男孩的影子看起来很长。","The boy’s shadow looks long.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E8%BF%99%E4%B8%AA%E7%94%B7%E5%AD%A9%E7%9A%84%E5%BD%B1%E5%AD%90%E7%9C%8B%E8%B5%B7%E6%9D%A5%E5%BE%88%E9%95%BF-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E8%BF%99%E4%B8%AA%E7%94%B7%E5%AD%A9%E7%9A%84%E5%BD%B1%E5%AD%90%E7%9C%8B%E8%B5%B7%E6%9D%A5%E5%BE%88%E9%95%BF-%E5%A5%B3.mp3","这个男孩的影子看起来很长。
The boy’s shadow looks long.

1. shadow

‎

‎

    


Characters: 影


子
"
"那个电影院里只有外国人。","There are only foreigners in that cinema.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E9%82%A3%E4%B8%AA%E7%94%B5%E5%BD%B1%E9%99%A2%E9%87%8C%E5%8F%AA%E6%9C%89%E5%A4%96%E5%9B%BD%E4%BA%BA-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E9%82%A3%E4%B8%AA%E7%94%B5%E5%BD%B1%E9%99%A2%E9%87%8C%E5%8F%AA%E6%9C%89%E5%A4%96%E5%9B%BD%E4%BA%BA-%E5%A5%B3.mp3","那个电影院里只有外国人。
There are only foreigners in that cinema.

1. movie theater, cinema

‎

‎

    


Characters: 电


影


院
"
"最近菜很贵，尤其是土豆。","Vegetables have been expensive recently, especially potatoes.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E6%9C%80%E8%BF%91%E8%8F%9C%E5%BE%88%E8%B4%B5%EF%BC%8C%E5%B0%A4%E5%85%B6%E6%98%AF%E5%9C%9F%E8%B1%86-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL31-%E6%9C%80%E8%BF%91%E8%8F%9C%E5%BE%88%E8%B4%B5%EF%BC%8C%E5%B0%A4%E5%85%B6%E6%98%AF%E5%9C%9F%E8%B1%86-%E5%A5%B3.mp3","最近菜很贵，尤其是土豆。
Vegetables have been expensive recently, especially potatoes.

1. especially, particularly

‎

‎

    


Characters: 其


尤


是
"
